"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00014765","PROVIDENCE, RI US","2005-01-11","2.4"," 2111"," 0923","5.1","53.0","0.0","1.1","3.3","-1.1",,"   70","  360","0.0","4.5","6.3","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-12","3.4"," 1829"," 1317","9.1","43.0","102.0","0.6","2.8","-1.7",,"   20","   20","12.7","4.5","6.3","    1",,,,,"    1",,,,,,"    1","    1","    1","    1","    1","    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-13","2.9"," 2322"," 2322","0.3","0.0","25.0","7.8","15.0","0.6",,"  210","  220","0.0","13.4","14.8","    1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-14","8.0"," 0652"," 0651","14.2","0.0","0.0","8.9","16.7","0.6",,"  210","  210","0.0","17.9","22.8","    1",,,"    1",,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-15","3.0"," 0316"," 0316","0.0","0.0","0.0","-1.7","0.6","-3.9","    0","   10","   10","0.0","8.0","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-16","6.0"," 2340"," 2350","0.0","3.0","0.0","-2.8","-1.1","-5.0",,"   10","   10","0.0","11.2","13.4","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-17","6.2"," 0206"," 0205","0.3","5.0","0.0","-5.6","-1.7","-9.4",,"   10","   20","0.0","11.2","13.9","    1",,,,,,,,"    1",,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-18","6.3"," 1019"," 1407","0.0","0.0","0.0","-11.7","-9.4","-14.4",,"  320","  330","0.0","10.3","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-19","1.5"," 2305"," 2305","1.5","58.0","0.0","-8.9","-1.7","-16.1",,"  270","  270","0.0","4.5","5.4","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-01-20","4.2"," 1331"," 1330","0.3","5.0","51.0","-4.4","-1.7","-7.8",,"  310","  310","0.0","9.4","11.6","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-21","5.4"," 1147"," 1125","0.0","0.0","25.0","-11.7","-7.8","-16.1","    0","   10","  360","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-22","3.9"," 2356"," 2356","9.7","178.0","25.0","-10.6","-2.8","-18.9",,"   70","   80","0.0","10.3","11.6","    1","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-01-23","12.0"," 0747"," 0722","17.0","417.0","457.0","-8.3","-2.2","-15.0",,"   20","   20","0.0","20.1","26.8","    1","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-01-24","5.1"," 0325"," 0322","0.0","0.0","508.0","-10.0","-5.0","-15.6",,"  330","  330","68.6","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-25","3.9"," 1032"," 1031","0.0","0.0","457.0","-6.1","-2.8","-9.4","    0","  310","  300","68.6","8.9","12.5",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-26","5.9"," 2355"," 2354","4.3","56.0","432.0","-5.0","-1.7","-8.3",,"  360","  360","73.7","11.6","15.6","    1","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-01-27","6.9"," 0203"," 2354","0.0","0.0","432.0","-11.1","-7.8","-14.4",,"   10","  360","78.7","12.5","15.6",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-01-28","4.0"," 1309"," 1308","0.0","0.0","432.0","-11.1","-5.6","-16.7",,"   20","   20","78.7","9.8","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-29","1.9"," 1613"," 1611","0.0","0.0","406.0","-7.2","2.2","-16.7","    0","  260","  270","88.9","4.5","6.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-30","3.9"," 1434"," 1214","0.0","0.0","381.0","0.0","3.9","-4.4",,"   20","   10","78.7","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-01-31","5.1"," 0932"," 0932","0.0","0.0","356.0","-4.4","-0.6","-8.9",,"   20","   30","88.9","9.4","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-01","0.9"," 2225"," 1352","0.0","0.0","356.0","-5.0","2.2","-12.8",,"  290","  110","94.0","2.7","3.1",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-02","3.6"," 1445"," 1456","0.0","0.0","330.0","-3.9","3.3","-11.7",,"   10","   20","94.0","7.2","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-03","4.3"," 1304"," 2301","5.3","0.0","305.0","-1.1","2.2","-5.0",,"   20","   10","86.4","6.7","7.6","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-04","5.9"," 1315"," 1300","0.8","0.0","229.0","1.1","2.2","-0.6",,"   30","   20","83.8","10.3","13.0","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-05","4.7"," 1324"," 0919","0.0","0.0","229.0","5.0","10.0","-0.6",,"   20","   20","61.0","8.9","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-06","5.0"," 1128"," 1127","0.0","0.0","178.0","2.8","7.2","-1.7",,"   10","   10","53.3","9.4","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-07","1.6"," 0012"," 0700","0.0","0.0","127.0","4.4","11.1","-2.2",,"  350","  350","20.3","4.0","4.5",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-08","1.8"," 1534"," 1536","0.0","0.0","76.0","1.1","6.1","-3.9",,"  160","  160","0.0","6.3","6.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-09","2.1"," 1619"," 2006","0.5","0.0","51.0","6.7","11.7","1.1",,"  170","  160","0.0","4.5","5.4","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-10","3.8"," 1557"," 2234","19.3","15.0","0.0","2.2","5.0","-1.1",,"  330","  310","0.0","9.4","11.2","    1","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-11","7.5"," 1442"," 1421","0.0","0.0","0.0","0.0","2.2","-2.8",,"  310","  300","0.0","13.4","17.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-12","4.2"," 1332"," 1333","0.0","0.0","0.0","0.6","3.9","-3.3",,"  270","  280","0.0","8.0","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-13","3.9"," 0923"," 1155","0.0","0.0","0.0","1.1","5.0","-3.3",,"  360","   10","0.0","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-14","4.1"," 2104"," 2104","6.9","3.0","0.0","-0.6","4.4","-6.1",,"  140","  150","0.0","8.0","10.7","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-15","4.3"," 0435"," 0320","20.1","0.0","0.0","6.1","11.1","1.1",,"  190","  180","0.0","11.2","16.1","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-16","4.0"," 2048"," 1844","5.3","0.0","0.0","6.1","12.2","-0.6",,"  310","  290","0.0","8.9","11.2","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-17","3.6"," 2059"," 2126","0.0","0.0","0.0","1.1","3.9","-1.7",,"  310","  300","0.0","6.7","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-18","5.9"," 1947"," 1839","0.0","0.0","0.0","-3.9","1.1","-8.9",,"  310","  310","0.0","10.3","13.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-19","4.1"," 1706"," 0424","0.0","0.0","0.0","-6.1","-1.7","-10.6",,"  300","  330","0.0","6.7","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-20","3.1"," 1029"," 1119","0.0","0.0","0.0","-3.3","1.1","-7.8",,"  320","  300","0.0","7.6","9.8",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-21","4.9"," 2321"," 2349","5.3","58.0","25.0","-1.7","0.6","-3.9",,"   20","   10","5.1","7.6","9.4","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-22","4.5"," 0603"," 0544","0.0","0.0","25.0","-1.1","0.6","-3.3",,"   10","   10","0.0","9.4","11.6","    1",,,,,"    1",,,,,,"    1",,"    1","    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-23","3.8"," 1332"," 1318","0.3","5.0","25.0","-0.6","2.8","-4.4",,"  300","  290","0.0","8.0","10.3","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-24","4.5"," 0647"," 0806","3.0","61.0","0.0","-4.4","-1.7","-7.8",,"   10","   10","0.0","7.6","9.4","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-25","4.6"," 0830"," 0825","4.1","86.0","152.0","-3.9","-1.1","-7.2",,"  360","  360","5.1","9.4","11.6","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-02-26","2.9"," 1503"," 1503","0.0","0.0","51.0","-4.4","1.7","-10.6",,"  250","  250","0.0","8.0","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-27","4.1"," 1225"," 1224","0.0","0.0","0.0","-2.2","1.7","-6.7",,"  290","  280","0.0","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-02-28","4.8"," 2346"," 2332","12.4","124.0","0.0","-2.8","2.2","-7.8",,"   40","   40","0.0","10.7","13.4","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-03-01","4.8"," 0058"," 0423","5.1","48.0","152.0","-1.1","0.0","-2.8",,"   30","   10","17.8","11.2","13.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-03-02","6.5"," 1606"," 1521","0.3","3.0","178.0","-1.1","1.7","-4.4",,"  280","  280","17.8","11.2","14.3","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-03","6.4"," 1222"," 1642","0.0","0.0","127.0","-4.4","-1.7","-7.2",,"  320","  340","15.2","10.3","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-04","4.6"," 1529"," 1020","0.0","0.0","102.0","-3.9","0.6","-8.9",,"  270","  270","12.7","9.4","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-05","3.7"," 1334"," 1333","0.0","0.0","102.0","-1.1","4.4","-7.2",,"  280","  280","10.2","7.2","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-06","4.2"," 1424"," 1456","0.0","0.0","25.0","1.1","5.0","-3.3",,"  240","  260","0.0","11.2","13.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-07","4.7"," 1954"," 1952","0.0","0.0","0.0","4.4","8.3","0.0",,"  210","  200","0.0","10.7","13.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-08","6.4"," 2056"," 1958","19.1","48.0","0.0","-1.1","6.7","-8.9",,"  330","  330","0.0","16.5","21.9","    1","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-03-09","7.4"," 0319"," 0126","0.0","0.0","51.0","-7.8","-3.9","-11.7",,"  300","  290","0.0","14.3","19.2",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-10","4.1"," 1348"," 1348","0.0","0.0","0.0","-5.6","-1.1","-10.6",,"  320","  320","0.0","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-11","2.5"," 0955"," 0954","2.0","23.0","25.0","-3.9","0.0","-7.8",,"  170","  180","0.0","6.7","8.0","    1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00014765","PROVIDENCE, RI US","2005-03-12","3.6"," 1739"," 1817","14.0","76.0","25.0","1.1","1.7","0.0",,"  290","  300","12.7","7.6","10.3","    1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-13","2.7"," 2332"," 2331","0.0","0.0","51.0","1.1","3.3","-1.1",,"  300","  300","0.0","5.8","7.6","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-14","4.9"," 1650"," 1227","0.0","0.0","0.0","1.1","5.6","-3.9",,"  320","  300","0.0","8.9","14.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-15","5.2"," 0855"," 0905","0.0","0.0","0.0","2.8","7.8","-2.2",,"  330","  330","0.0","10.3","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-16","4.9"," 0954"," 0929","0.0","0.0","0.0","3.3","7.8","-1.7",,"  310","  300","0.0","9.4","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-17","3.3"," 1450"," 1450","0.0","0.0","0.0","2.8","7.8","-2.8",,"  170","  170","0.0","7.2","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-18","3.8"," 1553"," 1547","0.0","0.0","0.0","2.8","8.3","-3.3",,"  330","  310","0.0","7.2","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-19","3.0"," 1122"," 0810","0.0","0.0","0.0","3.9","9.4","-1.7",,"  360","  360","0.0","6.7","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-20","2.6"," 1418"," 1416","0.0","0.0","0.0","3.3","8.9","-2.8",,"  260","  260","0.0","6.3","7.2",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-21","1.6"," 1705"," 1705","1.8","0.0","0.0","2.2","6.1","-1.7",,"   40","   40","0.0","5.4","5.8","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-22","3.8"," 1858"," 1246","0.0","0.0","0.0","5.0","12.8","-3.3",,"  240","  270","0.0","7.2","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-23","4.1"," 0809"," 2204","5.8","36.0","0.0","3.3","7.8","-1.7",,"   20","   60","0.0","7.6","8.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-24","5.9"," 1031"," 1031","4.3","18.0","51.0","2.2","5.0","-1.1",,"   30","   30","0.0","11.6","15.6","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00014765","PROVIDENCE, RI US","2005-03-25","3.8"," 1646"," 1412","0.0","0.0","0.0","5.0","11.1","-1.1",,"  310","  340","0.0","7.6","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-26","3.7"," 1550"," 1549","0.0","0.0","0.0","3.3","8.3","-1.7",,"  180","  180","0.0","7.6","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-27","2.6"," 1336"," 1432","0.0","0.0","0.0","2.8","8.3","-2.8",,"  160","  160","0.0","8.0","9.4",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-28","3.8"," 2046"," 1358","86.4","0.0","0.0","6.1","10.0","1.7",,"   10","  160","0.0","8.9","10.7","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-29","6.4"," 1142"," 1142","3.6","0.0","0.0","8.3","11.7","5.0",,"   10","   20","0.0","10.7","12.5",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-30","3.7"," 0814"," 0814","0.0","0.0","0.0","10.0","16.1","3.9",,"   10","   10","0.0","9.8","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-03-31","2.9"," 1717"," 1002","0.0","0.0","0.0","6.7","12.8","0.0",,"  180","   50","0.0","6.3","7.6",,,,,,,,"    1",,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-01","2.9"," 1632"," 1424","0.0","0.0","0.0","7.2","11.1","3.3",,"  170","  160","0.0","7.2","8.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-02","6.4"," 2341"," 2340","42.9","0.0","0.0","8.9","13.9","3.9",,"  130","  120","0.0","16.1","21.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-03","6.5"," 0113"," 0105","8.4","0.0","0.0","8.9","13.3","4.4",,"  160","  170","0.0","17.0","22.8","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-04","5.1"," 1322"," 1846","0.0","0.0","0.0","8.9","12.8","4.4",,"  280","  290","0.0","9.4","11.2",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-05","3.8"," 1636"," 1635","0.0","0.0","0.0","10.0","17.8","2.2",,"  330","  330","0.0","8.9","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-06","2.9"," 1413"," 1413","0.0","0.0","0.0","9.4","13.9","4.4",,"  160","  160","0.0","8.9","10.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-07","4.4"," 1445"," 1444","0.5","0.0","0.0","13.3","21.7","4.4",,"  240","  240","0.0","12.5","15.6","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-08","3.2"," 0612"," 0605","11.2","0.0","0.0","10.0","14.4","5.6",,"  360","  360","0.0","8.9","10.7","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-09","3.7"," 0843"," 0721","0.0","0.0","0.0","10.0","16.1","3.9",,"   30","   40","0.0","6.7","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-10","2.7"," 2356"," 2359","0.0","0.0","0.0","10.0","18.3","1.1",,"   40","   40","0.0","11.2","14.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-11","5.3"," 2356"," 2359","0.0","0.0","0.0","7.8","12.2","3.3",,"   40","   40","0.0","11.2","14.3",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-12","4.9"," 1729"," 1728","0.0","0.0","0.0","6.1","12.2","0.0",,"   50","   50","0.0","10.3","12.5",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-13","3.3"," 1232"," 1231","0.0","0.0","0.0","6.1","11.1","1.1",,"   20","   10","0.0","7.6","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-14","5.2"," 1415"," 1413","0.0","0.0","0.0","7.8","13.9","1.1",,"   80","   80","0.0","9.8","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-15","5.9"," 1015"," 1012","0.0","0.0","0.0","7.2","12.2","2.2",,"   50","   50","0.0","11.6","13.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-16","3.4"," 1418"," 1401","0.0","0.0","0.0","7.8","15.6","0.0",,"  110","  100","0.0","6.7","8.9",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-17","3.0"," 1316"," 1516","0.0","0.0","0.0","9.4","17.8","0.6",,"  160","  160","0.0","7.2","8.0",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-18","3.5"," 1509"," 1509","0.0","0.0","0.0","15.0","22.8","6.7",,"  180","  180","0.0","9.4","10.7",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-19","3.5"," 1426"," 1426","0.0","0.0","0.0","11.7","20.6","2.8",,"  160","  160","0.0","8.9","9.8",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-20","5.5"," 1423"," 1431","0.0","0.0","0.0","19.4","30.0","8.3",,"  230","  210","0.0","11.6","13.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-21","4.7"," 0545"," 0544","0.0","0.0","0.0","10.0","16.1","3.9",,"   50","   50","0.0","10.7","13.9","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-22","4.2"," 1448"," 1342","0.0","0.0","0.0","8.3","14.4","1.7",,"  160","  170","0.0","9.8","11.2",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-23","5.5"," 2328"," 2327","5.1","0.0","0.0","12.8","17.2","7.8",,"  170","  150","0.0","10.7","14.3","    1","    1",,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-24","6.8"," 0214"," 0213","16.3","0.0","0.0","10.6","15.0","5.6",,"  160","  150","0.0","14.8","19.2","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-25","5.7"," 1204"," 1125","1.0","0.0","0.0","8.3","10.6","5.6",,"  250","  220","0.0","11.6","14.8","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-26","4.6"," 1225"," 1224","0.0","0.0","0.0","11.7","20.0","3.3",,"  200","  200","0.0","11.2","13.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-27","4.5"," 1301"," 1253","16.3","0.0","0.0","11.7","13.3","10.0",,"  160","  160","0.0","10.3","13.9","    1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-28","5.2"," 1544"," 1543","2.0","0.0","0.0","11.7","18.3","5.0",,"  290","  290","0.0","14.3","19.2","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-29","4.9"," 1618"," 1619","0.0","0.0","0.0","11.1","17.2","4.4",,"  210","  210","0.0","10.7","11.6",,,,,,,,,,,,,,,,,,,,,
"USW00014765","PROVIDENCE, RI US","2005-04-30","3.4"," 1847"," 1846","21.3","0.0","0.0","11.1","13.9","8.3",,"  200","  190","0.0","7.6","10.3","    1",,"    1",,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00014765","PROVIDENCE, RI US","2005-05-01","2.9"," 1108"," 1107","5.6","0.0","0.0","12.2","16.7","7.8",,"  300","  310","0.0","8.9","12.5","    1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
